	"gene_id"	"sample97_t3"	"sample98_t4"	"sample99_t5"	"sample100_t6"	"sample101_t8"	"sample102_t24"	"sample103_t48"	"sample104_t168"	"sample105_t336"	"sample16_t3"	"sample17_t4"	"sample18_t5"	"sample19_t6"	"sample20_t8"	"sample21_t24"	"sample22_t48"	"sample23_t168"	"sample24_t336"	"sample25_t3"	"sample26_t4"	"sample27_t5"	"sample28_t6"	"sample29_t8"	"sample30_t24"	"sample31_t48"	"sample32_t168"	"sample33_t336"
"1"	"ECB_00001"	287	628	289	174	14	3	4	151	308	62	82	709	88	45	20	7	65	92	196	180	180	107	93	62	7	157	131
"2"	"ECB_00002"	3948	4251	3669	2630	19	1	1	129	670	995	1794	1204	2216	26	13	4	72	147	3421	3415	3500	4236	3496	26	4	289	230
"3"	"ECB_00003"	1434	1669	1444	1359	7	1	1	51	183	468	620	226	727	25	4	1	22	46	1558	1229	1337	1604	1131	7	3	115	135
"4"	"ECB_00004"	1483	2243	1565	1123	4	0	3	13	99	436	752	243	796	22	4	0	4	37	1594	1602	1563	1573	1089	1	0	30	41
"5"	"ECB_00005"	154	248	174	149	2	0	0	8	27	33	62	8	70	3	1	1	3	6	102	125	139	96	71	2	0	28	13
"6"	"ECB_00006"	94	144	30	15	1	1	0	7	18	23	26	5	16	3	0	1	0	4	14	14	20	30	17	2	0	9	18
"7"	"ECB_00007"	2	13	5	5	2	0	0	6	6	0	2	0	2	2	0	0	1	4	3	2	5	7	4	0	0	9	8
"8"	"ECB_00008"	3661	2608	1700	801	98	13	8	258	377	916	821	407	620	197	56	10	99	197	976	1133	1207	1000	925	173	15	564	397
"9"	"ECB_00009"	173	207	148	58	9	5	2	72	122	39	36	24	26	12	13	5	34	100	55	84	72	56	58	18	11	195	154
"10"	"ECB_00010"	63	170	84	48	5	0	0	14	33	13	34	14	13	8	5	0	0	17	23	47	50	21	10	14	1	11	15
"11"	"ECB_00011"	6	9	3	6	0	0	0	1	8	1	1	0	2	4	3	0	6	8	2	3	1	2	3	1	2	15	20
"12"	"ECB_00012"	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	1	1	0	0	0	3	9
"13"	"ECB_00013"	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	2	4
"14"	"ECB_00014"	3037	3006	1727	1505	351	7	3	1570	528	2515	1080	273	1170	773	76	8	264	122	1211	1374	1487	2062	3717	252	11	3473	280
"15"	"ECB_00015"	216	426	195	236	21	2	1	28	63	110	89	50	147	41	2	0	5	14	190	202	240	288	359	6	0	80	23
"16"	"ECB_00016"	166	145	103	56	3	0	0	14	55	26	41	5	55	9	0	0	2	13	145	164	152	108	111	1	2	42	25
"17"	"ECB_00017"	7	11	4	5	2	0	0	17	8	1	3	1	2	10	3	2	5	10	2	0	4	2	2	2	1	22	12
"18"	"ECB_00018"	249	315	190	126	37	8	8	151	243	49	119	10	70	54	16	15	22	66	110	191	176	119	70	57	9	284	166
"19"	"ECB_00019"	63	137	46	39	3	0	4	11	20	17	14	7	10	4	0	0	5	7	17	35	34	36	30	1	1	34	39
"20"	"ECB_00020"	1	4	1	6	0	0	0	2	1	0	1	0	0	0	0	0	1	3	0	0	7	4	1	0	0	3	0
"21"	"ECB_00021"	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"22"	"ECB_00022"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"23"	"ECB_00023"	3	8	1	2	0	0	0	4	3	1	2	1	3	0	0	0	1	2	4	3	0	5	3	0	0	4	2
"24"	"ECB_00024"	21	43	12	18	0	0	0	3	13	5	6	4	6	1	0	0	1	6	24	31	36	49	33	2	1	10	14
"25"	"ECB_00025"	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	9	14
"26"	"ECB_00026"	14	50	14	5	0	0	0	0	4	4	6	3	5	0	0	0	0	4	5	27	24	5	1	1	0	0	0
"27"	"ECB_00027"	5106	14425	3154	2142	7	3	3	74	418	1034	1726	56	1608	29	14	3	12	310	1152	3422	3407	1683	647	31	11	55	252
"28"	"ECB_00028"	7	15	4	0	0	0	0	9	3	0	3	0	0	0	0	0	4	5	0	6	3	3	1	0	0	4	1
"29"	"ECB_00029"	520	794	232	162	5	0	1	29	126	101	139	145	101	11	2	1	4	37	153	309	282	142	86	3	0	27	55
"30"	"ECB_00030"	4798	5010	2195	1950	23	4	7	76	606	962	1395	903	1298	78	2	1	11	112	1691	2370	2350	2469	1504	24	4	87	274
"31"	"ECB_00031"	600	441	533	210	16	0	0	17	79	206	243	25	229	32	0	0	3	46	537	730	702	448	350	8	0	15	33
"32"	"ECB_00032"	129	269	77	108	1	0	1	2	17	29	37	23	48	0	1	0	0	7	52	59	101	63	30	1	0	3	10
"33"	"ECB_00033"	655	1133	422	299	4	0	0	10	35	184	294	91	203	18	2	0	18	27	325	512	525	345	177	4	1	23	16
"34"	"ECB_00034"	20	32	39	8	3	0	0	2	1	37	22	3	11	19	0	0	0	2	10	18	14	6	23	0	0	0	1
"35"	"ECB_00035"	233	249	99	113	6	0	0	10	45	27	70	28	56	13	0	1	5	17	204	240	188	293	187	5	0	34	39
"36"	"ECB_00036"	700	1134	666	625	1	2	0	190	170	75	249	170	321	1	0	16	13	25	402	446	696	592	297	0	4	326	32
"37"	"ECB_00037"	2124	2886	2561	2611	3	0	0	85	54	521	1079	954	1613	9	1	2	35	25	2582	2227	3290	3372	1542	1	1	287	32
"38"	"ECB_00038"	13	25	2	12	11	2	3	28	14	0	3	0	4	3	0	3	4	3	5	8	6	2	7	0	0	41	22
"39"	"ECB_00039"	6	5	2	1	0	0	0	4	5	0	1	0	3	2	0	0	0	0	3	1	1	1	1	0	0	5	4
"40"	"ECB_00040"	0	1	3	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	1
"41"	"ECB_00041"	6	5	3	1	1	1	0	6	14	0	0	0	0	0	1	0	0	10	3	2	0	3	6	1	0	20	26
"42"	"ECB_00042"	6	7	2	8	0	0	0	13	55	0	0	0	1	0	0	0	0	8	0	4	4	0	0	0	0	37	27
"43"	"ECB_00043"	54	60	32	27	4	2	4	164	191	17	24	13	16	4	5	21	58	92	15	36	30	16	9	2	11	205	153
"44"	"ECB_00044"	3	1	1	0	0	0	0	5	23	0	1	0	0	0	0	0	36	12	21	5	11	13	4	2	9	117	269
"45"	"ECB_00045"	4	5	3	0	0	0	0	1	0	1	3	0	0	0	0	0	0	3	2	9	7	0	3	1	0	9	1
"46"	"ECB_00046"	2	2	1	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	3
"47"	"ECB_00047"	4	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	0	0	3
"48"	"ECB_00048"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	3	0	0	0	0
"49"	"ECB_00049"	2	10	2	1	1	0	0	4	2	1	2	0	4	0	0	0	2	0	3	1	5	4	2	0	0	4	1
"50"	"ECB_00050"	15	18	7	2	1	2	1	10	10	3	4	1	2	4	1	1	9	6	4	2	10	2	9	7	0	13	14
"51"	"ECB_00051"	55	62	30	23	4	0	0	15	16	8	22	13	13	12	2	1	2	8	30	44	36	36	34	5	1	26	22
"52"	"ECB_00052"	63	190	35	28	16	11	4	194	64	17	17	12	12	11	16	10	53	38	29	47	44	24	35	45	7	348	84
"53"	"ECB_00053"	146	207	69	47	0	0	0	2	12	23	36	27	35	3	0	0	1	4	57	78	112	67	46	0	1	11	19
