Common name,Entrez ID,Gene Name,Prediction,Sorted Category
ispD,948269,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,,Temporarly Up Regulated
dxr,945019,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,Down Regulated
rbsB,948261,D-ribose-binding periplasmic protein,,Up Regulated
rbsC,948262,Ribose transport system permease protein rbsC,,Ambiguous/Unsorted
yieP,948263,Uncharacterized HTH-type transcriptional regulator yieP,[],Down Regulated
fucU,945842,L-fucose mutarotase,,Up Regulated
hemB,945017,Delta-aminolevulinic acid dehydratase,,Ambiguous/Unsorted
tonB,945843,Protein tonB,,Ambiguous/Unsorted
rbsA,948264,Ribose import ATP-binding protein rbsA; Ribose import ATP-binding protein rbsA 1,,Ambiguous/Unsorted
rluB,945840,Pseudouridine synthase; Ribosomal large subunit pseudouridine synthase B,,Down Regulated
rbsR,948266,Ribose operon repressor,,Down Regulated
kch,945841,Putative potassium channel protein,,Ambiguous/Unsorted
rbsD,948267,D-ribose pyranase,,Ambiguous/Unsorted
dnaC,948864,DNA replication protein dnaC,,Ambiguous/Unsorted
ydcI,948865,Uncharacterized HTH-type transcriptional regulator ydcI,"['Transcription', ' RNA related', ' Type of regulation', ' Genetic unit regulated', 'transcription', 'regulation of transcription  DNA dependent']",Down Regulated
btuR,945839,"Cob(I)yrinic acid a,c-diamide adenosyltransferase",,Ambiguous/Unsorted
hsdS,948867,Type-1 restriction enzyme EcoKI specificity protein,,Down Regulated
adhE,945837,Aldehyde-alcohol dehydrogenase,,Down Regulated
rbsK,948260,Ribokinase,,Ambiguous/Unsorted
nadC,948869,Nicotinate-nucleotide pyrophosphorylase [carboxylating],,Ambiguous/Unsorted
ychE,945836,UPF0056 membrane protein yhcE,,Temporarly Up Regulated
dosC,945835,Diguanylate cyclase yddV,,Up Regulated
yddV,945835,Diguanylate cyclase yddV,,Up Regulated
tauD,945021,Alpha-ketoglutarate-dependent taurine dioxygenase,,Down Regulated
dinI,945022,DNA-damage-inducible protein I,,Down Regulated
yccK,945023,Sulfurtransferase tusE,,Ambiguous/Unsorted
mutH,947299,DNA mismatch repair protein mutH,,Up Regulated
yieL,948272,Uncharacterized protein yieL,['Carbohydrate transport and metabolism'],Temporarly Up Regulated
yahF,947298,Uncharacterized protein yahF,"['Amino acid transport and metabolism', ' Carbon compound utilization', 'amino acid metabolic process']",Temporarly Up Regulated
tdk,945834,Thymidine kinase,,Ambiguous/Unsorted
ilvE,948278,Branched-chain-amino-acid aminotransferase,,Ambiguous/Unsorted
smpB,947296,SsrA-binding protein,,Down Regulated
ilvM,948279,Acetolactate synthase isozyme 2 small subunit,,Down Regulated
amiC,947293,N-acetylmuramoyl-L-alanine amidase amiC,,Down Regulated
tauB,945027,Taurine import ATP-binding protein tauB,,Ambiguous/Unsorted
recC,947294,Exodeoxyribonuclease V gamma chain,,Down Regulated
hns,945829,DNA-binding protein H-NS,,Up Regulated
ylaC,948876,Inner membrane protein ylaC,,Down Regulated
ygdL,947291,Uncharacterized protein ygdL,[],Down Regulated
csdL,947291,Uncharacterized protein ygdL,,Down Regulated
ychJ,945828,UPF0225 protein ychJ,,Down Regulated
ampD,948877,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase ampD",,Temporarly Up Regulated
arcA,948874,Aerobic respiration control protein arcA,,Ambiguous/Unsorted
hsdR,948878,Type I restriction enzyme EcoKI R protein,,Down Regulated
