Common Name,Entrez ID,Gene Name,Prediction,Sorted Category
yjeK,948662,Uncharacterized kamA family protein yjeK,['metabolic process'],Down Regulated
dxr,945019,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,Temporarly Down Regulated
groL,948665,60 kDa chaperonin,,Down Regulated
ribF,949129,Riboflavin biosynthesis protein ribF,,Down Regulated
kch,945841,Putative potassium channel protein,,Down Regulated
ydhB,945208,Uncharacterized HTH-type transcriptional regulator ydhB,"['Transcription', ' RNA related', ' Type of regulation', 'transcription', 'regulation of transcription  DNA dependent']",Up Regulated
fepG,945209,Ferric enterobactin transport system permease protein fepG,,Ambiguous/Unsorted
ybaA,948863,Uncharacterized protein ybaA,[],Up Regulated
ydcI,948865,Uncharacterized HTH-type transcriptional regulator ydcI,"['Transcription', ' RNA related', ' Type of regulation', ' Genetic unit regulated', 'transcription', 'regulation of transcription  DNA dependent']",Up Regulated
btuR,945839,"Cob(I)yrinic acid a,c-diamide adenosyltransferase",,Down Regulated
hsdS,948867,Type-1 restriction enzyme EcoKI specificity protein,,Temporarly Down Regulated
yciK,945838,Uncharacterized oxidoreductase yciK,"['DNA repair', 'response to DNA damage stimulus']",Ambiguous/Unsorted
creD,948868,Inner membrane protein creD,,Ambiguous/Unsorted
cstA,945213,Carbon starvation protein A,,Ambiguous/Unsorted
rbsK,948260,Ribokinase,,Down Regulated
ychE,945836,UPF0056 membrane protein yhcE,,Temporarly Down Regulated
yjiN,948860,Uncharacterized protein yjiN,['response to antibiotic'],Up Regulated
sugE,948671,Quaternary ammonium compound-resistance protein sugE,,Down Regulated
tauD,945021,Alpha-ketoglutarate-dependent taurine dioxygenase,,Down Regulated
dinI,945022,DNA-damage-inducible protein I,,Temporarly Up Regulated
rcsF,949113,Protein rcsF,,Down Regulated
yaeB,949112,UPF0066 protein yaeB,,Ambiguous/Unsorted
psd,948673,Phosphatidylserine decarboxylase proenzyme,,Ambiguous/Unsorted
poxA,948672,Putative lysyl-tRNA synthetase,,Up Regulated
abgR,945831,HTH-type transcriptional regulator abgR,,Ambiguous/Unsorted
yqeG,945028,Inner membrane transport protein yqeG,,Ambiguous/Unsorted
yhbV,949117,Uncharacterized protein yhbV,"['Coenzyme transport and metabolism', ' Energy metabolism  carbon ', ' Building block biosynthesis', 'ion transport', 'iron ion transport']",Up Regulated
yjeM,948679,Inner membrane transporter yjeM,,Up Regulated
yieL,948272,Uncharacterized protein yieL,['Carbohydrate transport and metabolism'],Up Regulated
yjeP,948676,Uncharacterized mscS family protein yjeP,"['purine nucleotide biosynthetic process', 'biosynthetic process']",Down Regulated
ilvE,948278,Branched-chain-amino-acid aminotransferase,,Down Regulated
ilvM,948279,Acetolactate synthase isozyme 2 small subunit,,Down Regulated
tauC,945026,Taurine transport system permease protein tauC,,Down Regulated
tauB,945027,Taurine import ATP-binding protein tauB,,Down Regulated
ilvD,948277,Dihydroxy-acid dehydratase,,Down Regulated
oppA,945830,Periplasmic oligopeptide-binding protein,,Down Regulated
thrB,947498,Homoserine kinase,,Down Regulated
ylaC,948876,Inner membrane protein ylaC,,Up Regulated
ampD,948877,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase ampD",,Ambiguous/Unsorted
leuS,947497,Leucyl-tRNA synthetase,,Temporarly Down Regulated
dkgA,947495,"2,5-diketo-D-gluconic acid reductase A",,Temporarly Up Regulated
tatE,945228,Sec-independent protein translocase protein tatE,,Down Regulated
marR,945825,Multiple antibiotic resistance protein marR,,Up Regulated
ybgI,945824,UPF0135 protein ybgI,,Ambiguous/Unsorted
dacA,945222,D-alanyl-D-alanine carboxypeptidase dacA,,Down Regulated
ahpC,945225,Alkyl hydroperoxide reductase subunit C,,Temporarly Up Regulated
yqhC,947491,Uncharacterized HTH-type transcriptional regulator yqhC,"[' RNA related', ' Type of regulation', ' Genetic unit regulated', ' Protection', 'regulation of transcription  DNA dependent']",Up Regulated
dsbG,945224,Thiol:disulfide interchange protein dsbG,,Down Regulated
yjjL,948879,Inner membrane transport protein yjjL,,Up Regulated
ybeD,945220,UPF0250 protein ybeD,,Ambiguous/Unsorted
hsdM,948872,Type I restriction enzyme EcoKI M protein,,Down Regulated
fecR,949104,Protein fecR,,Ambiguous/Unsorted
tauA,945030,Taurine-binding periplasmic protein,,Down Regulated
dsdX,949103,DsdX permease,,Up Regulated
fumB,948642,"Fumarate hydratase class I, anaerobic",,Up Regulated
yaiI,945033,UPF0178 protein yaiI,,Down Regulated
atpF,948247,ATP synthase subunit b; ATP synthase B chain,,Down Regulated
mnmG,948248,tRNA uridine 5-carboxymethylaminomethyl modification enzyme mnmG,,Ambiguous/Unsorted
atpG,948243,ATP synthase gamma chain,,Down Regulated
atpD,948244,ATP synthase subunit beta,,Down Regulated
ptrA,947284,Protease 3,,Temporarly Down Regulated
atpC,948245,ATP synthase epsilon chain,,Down Regulated
glmU,948246,Bifunctional protein glmU,,Down Regulated
recB,947286,Exodeoxyribonuclease V beta chain,,Down Regulated
ynfH,945822,Anaerobic dimethyl sulfoxide reductase chain ynfH,,Down Regulated
RecD,947287,Exodeoxyribonuclease V alpha chain,,Down Regulated
oppB,945823,Oligopeptide transport system permease protein oppB,,Down Regulated
fimA,948838,"Type-1 fimbrial protein, A chain",,Up Regulated
nanM,949106,N-acetylneuraminate epimerase,,Up Regulated
glmS,948241,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing],,Down Regulated
argA,947289,Amino-acid acetyltransferase,,Down Regulated
atpA,948242,ATP synthase subunit alpha,,Down Regulated
Dos,945815,"Heme-regulated cyclic di-GMP, cyclic AMP phosphodiesterase,",,Temporarly Up Regulated
dosP,945815,"Heme-regulated cyclic di-GMP, cyclic AMP phosphodiesterase,",,Temporarly Up Regulated
gpr,947480,Uncharacterized protein yghZ,,Temporarly Up Regulated
yghZ,947480,Uncharacterized protein yghZ,,Temporarly Up Regulated
fimH,948847,Protein fimH,,Temporarly Down Regulated
ygiT,945814,Uncharacterized HTH-type transcriptional regulator ygiT,"[' Carbon compound utilization', 'metabolic process']",Up Regulated
mqsA,945814,Uncharacterized HTH-type transcriptional regulator ygiT,,Up Regulated
gntP,948848,High-affinity gluconate transporter,,Up Regulated
flgD,945813,Basal-body rod modification protein flgD,,Down Regulated
rfbC,947482,"dTDP-4-dehydrorhamnose 3,5-epimerase",,Down Regulated
yfdY,948842,Uncharacterized protein yfdY,[],Up Regulated
uidB,947484,ECIAI39_1442; EcHS_A1691; APECO1_699; b1616; ECDH10B_1749; c2008; UTI89_C1804; EcSMS35_1583; EcE24377A_1824; Z2620; ECS88_1662; ECED1_1815; ECUMN_1905; ECH74115_2327; ECIAI1_1667; E2348C_1701; EC55989_1782,,Up Regulated
yciU,945819,UPF0263 protein yciU,,Down Regulated
rlmH,945239,Ribosomal RNA large subunit methyltransferase H,,Temporarly Down Regulated
mrdB,945238,Rod shape-determining protein rodA,,Down Regulated
flhC,947280,Flagellar transcriptional activator flhC,,Temporarly Up Regulated
ybeB,945237,Uncharacterized protein ybeB,[],Down Regulated
sgcX,948840,Putative sgc region protein sgcX,,Up Regulated
fadR,948652,Fatty acid metabolism regulator protein,,Down Regulated
psiF,945040,Phosphate starvation-inducible protein psiF,,Up Regulated
ygdD,947279,UPF0382 inner membrane protein ygdD,,Temporarly Up Regulated
yjdC,948650,HTH-type transcriptional regulator yjdC,,Temporarly Up Regulated
phoR,945044,Sensor protein; Phosphate regulon sensor protein phoR,,Temporarly Down Regulated
aroM,945045,Protein aroM,,Temporarly Down Regulated
asnC,948259,Asparaginyl-tRNA synthetase; Regulatory protein asnC,,Down Regulated
fucO,947273,Lactaldehyde reductase,,Temporarly Up Regulated
csdE,947274,Uncharacterized sufE-like protein ygdK,,Ambiguous/Unsorted
yaiE,945048,UPF0345 protein yaiE,,Down Regulated
atpH,948254,ATP synthase subunit delta,,Down Regulated
aspA,948658,Aspartate ammonia-lyase,,Temporarly Up Regulated
atpB,948252,ATP synthase subunit a,,Down Regulated
fxsA,948657,UPF0716 protein fxsA,,Temporarly Up Regulated
yjeH,948656,Inner membrane protein yjeH,,Down Regulated
atpE,948253,ATP synthase subunit c,,Down Regulated
oppC,945810,Oligopeptide transport system permease protein oppC,,Down Regulated
rsmG,948250,Ribosomal RNA small subunit methyltransferase G,,Down Regulated
groS,948655,10 kDa chaperonin,,Down Regulated
uxuR,948849,Uxu operon transcriptional regulator,,Ambiguous/Unsorted
thrA,945803,Bifunctional aspartokinase/homoserine dehydrogenase 1,,Temporarly Up Regulated
oppD,945802,Oligopeptide transport ATP-binding protein oppD,,Down Regulated
holE,947471,DNA polymerase III subunit theta,,Temporarly Down Regulated
nadD,945248,Nicotinate-nucleotide adenylyltransferase; Probable nicotinate-nucleotide adenylyltransferase,,Down Regulated
gss,947474,Bifunctional glutathionylspermidine synthetase/amidase,,Temporarly Down Regulated
gsp,947474,Bifunctional glutathionylspermidine synthetase/amidase,,Temporarly Down Regulated
yjiE,948852,Uncharacterized HTH-type transcriptional regulator yjiE,"['Transcription', ' RNA related', ' Type of regulation', 'transcription', 'regulation of transcription  DNA dependent']",Ambiguous/Unsorted
glcG,947473,Protein glcG,,Temporarly Up Regulated
yqhA,947479,UPF0114 protein yqhA,,Down Regulated
rlpA,945241,Rare lipoprotein A,,Down Regulated
mrdA,945240,Penicillin-binding protein 2,,Down Regulated
ygdH,947266,UPF0717 protein ygdH,,Down Regulated
gudX,947261,Glucarate dehydratase-related protein,,Up Regulated
rumB,947260,23S rRNA (uracil-5-)-methyltransferase rumB,,Temporarly Down Regulated
wrbA,947263,Flavoprotein wrbA; Putative flavoprotein wrbA,,Temporarly Up Regulated
yieE,948226,Uncharacterized protein yieE,['Amino acid transport and metabolism'],Temporarly Down Regulated
yieF,948225,Uncharacterized protein yieF,,Temporarly Down Regulated
ygbE,947268,Inner membrane protein ygbE,,Down Regulated
gadA,948027,Glutamate decarboxylase alpha,,Up Regulated
